INFO  - 2021-02-24 15:41:23.938; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:41:28.330; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:41:30.695; utils.log; University Login Successful
INFO  - 2021-02-24 15:41:32.754; utils.log; Dropdown  Clicked
INFO  - 2021-02-24 15:41:41.091; utils.log; Jobs Menu  Clicked
INFO  - 2021-02-24 15:42:23.145; utils.log; END=FAILED
INFO  - 2021-02-24 15:42:24.593; utils.log; START=EmployerDashboard--------------------------------------------------------------
INFO  - 2021-02-24 15:42:38.933; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:42:43.252; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:42:45.271; utils.log; University Login Successful
INFO  - 2021-02-24 15:42:51.365; utils.log; Emp Dashboard Menu  Clicked
INFO  - 2021-02-24 15:42:53.367; utils.log; End TEST-------------------------- EmployerDashboard------------------------
INFO  - 2021-02-24 15:42:53.368; utils.log; END=PASSED
INFO  - 2021-02-24 15:42:53.978; utils.log; START=EmployerDashboardMenuDropDown--------------------------------------------------------------
INFO  - 2021-02-24 15:43:07.300; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:43:11.629; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:43:13.642; utils.log; University Login Successful
INFO  - 2021-02-24 15:43:15.698; utils.log; Dropdown  Clicked
INFO  - 2021-02-24 15:43:17.747; utils.log; Emp Dashboard Dropdown  Clicked
INFO  - 2021-02-24 15:43:19.748; utils.log; End TEST-------------------------- EmployerDashboardMenuDropDown------------------------
INFO  - 2021-02-24 15:43:19.748; utils.log; END=PASSED
INFO  - 2021-02-24 15:43:20.360; utils.log; START=EmpProfileDropdownMenu--------------------------------------------------------------
INFO  - 2021-02-24 15:43:35.358; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:43:39.679; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:43:41.698; utils.log; University Login Successful
INFO  - 2021-02-24 15:43:43.763; utils.log; Dropdown  Clicked
INFO  - 2021-02-24 15:43:45.824; utils.log; Jobs Menu  Clicked
INFO  - 2021-02-24 15:43:47.844; utils.log; Employer Profile Page Displayed
INFO  - 2021-02-24 15:43:47.845; utils.log; End TEST-------------------------- EmpProfileDropdownMenu------------------------
INFO  - 2021-02-24 15:43:47.845; utils.log; END=PASSED
INFO  - 2021-02-24 15:43:48.457; utils.log; START=LoginPageEmpSearchCandidateByNameElements--------------------------------------------------------------
INFO  - 2021-02-24 15:44:01.521; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:44:05.835; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:44:07.856; utils.log; University Login Successful
INFO  - 2021-02-24 15:44:18.277; utils.log; Talent Menu  Clicked
INFO  - 2021-02-24 15:44:20.337; utils.log; Candidates Tab  Clicked
INFO  - 2021-02-24 15:44:22.403; utils.log; By Name Radio Clicked
INFO  - 2021-02-24 15:44:24.583; utils.log; Wrong Name Entered and Search Button Clicked
INFO  - 2021-02-24 15:44:26.619; utils.log; No Results Found was displayed
INFO  - 2021-02-24 15:44:28.730; utils.log; Correct Name Entered and Search Button Clicked
INFO  - 2021-02-24 15:44:30.761; utils.log; Search Was  Succesfull and Result Returned	 
INFO  - 2021-02-24 15:44:30.762; utils.log; End TEST-------------------------- EmpSearchCandidateByName------------------------
INFO  - 2021-02-24 15:44:30.762; utils.log; END=PASSED
INFO  - 2021-02-24 15:44:31.387; utils.log; START=EmpSearchClosedJobs--------------------------------------------------------------
INFO  - 2021-02-24 15:44:58.791; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:45:03.107; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:45:05.126; utils.log; University Login Successful
INFO  - 2021-02-24 15:45:12.576; utils.log; Jobs Menu  Clicked
INFO  - 2021-02-24 15:45:14.678; utils.log; Closed Menu  Clicked
INFO  - 2021-02-24 15:45:16.800; utils.log; Job Title entered into Search Box
INFO  - 2021-02-24 15:45:18.856; utils.log; Search Button  Clicked
INFO  - 2021-02-24 15:45:20.875; utils.log; Job   was displayed in Closed Section  
INFO  - 2021-02-24 15:45:20.876; utils.log; End TEST--------------------------EmpSearchClosedJobs------------------------
INFO  - 2021-02-24 15:45:20.876; utils.log; END=PASSED
INFO  - 2021-02-24 15:45:21.485; utils.log; START=EmpSearchShortlistedByEverything--------------------------------------------------------------
INFO  - 2021-02-24 15:45:36.231; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:45:40.552; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2021-02-24 15:45:42.567; utils.log; University Login Successful
INFO  - 2021-02-24 15:46:24.629; utils.log; END=FAILED
INFO  - 2021-02-24 15:46:25.966; utils.log; START=EmpSearchShortlistedByName--------------------------------------------------------------
INFO  - 2021-02-24 15:47:49.707; utils.log; Test Execution Started On  Alpha
INFO  - 2021-02-24 15:47:49.720; utils.log; START=EmpSearchTalentByEverything--------------------------------------------------------------
INFO  - 2021-02-25 12:53:42.348; utils.log; START=EmpSearchShortlistedByEverything--------------------------------------------------------------
